Abaetetuba;11.44;Nordeste Paraense
Abel Figueiredo;7.58;Sudeste Paraense
Acara;17.36;Nordeste Paraense
Afua;11.85;Marajo
agua Azul do Norte;31.11;Sudeste Paraense
Alenquer;25.13;Baixo Amazonas
Almeirim;25.67;Baixo Amazonas
Altamira;14.36;Sudoeste Paraense
Anajas;14.49;Marajo
Ananindeua;12.56;Metropolitana de Belem
Anapu;10.74;Sudoeste Paraense
Augusto Correa;14.87;Nordeste Paraense
Aurora do Para;4.71;Nordeste Paraense
Aveiro;20.69;Sudoeste Paraense
Bagre;25.55;Marajo
Baiao;27.94;Nordeste Paraense
Bannach;0;Sudeste Paraense
Barcarena;10.03;Metropolitana de Belem
Belem;15.5;Metropolitana de Belem
Belterra;19.29;Baixo Amazonas
Benevides;14.01;Metropolitana de Belem
Bom Jesus do Tocantins;10.27;Sudeste Paraense
Bonito;4.76;Nordeste Paraense
Braganca;8.93;Nordeste Paraense
Brasil Novo;9.23;Sudoeste Paraense
Brejo Grande do Araguaia;10;Sudeste Paraense
Breu Branco;18.3;Sudeste Paraense
Breves;17.17;Marajo
Bujaru;6.48;Metropolitana de Belem
Cachoeira do Arari;23.32;Marajo
Cachoeira do Piria;19.48;Nordeste Paraense
Cameta;18.14;Nordeste Paraense
Canaa dos Carajas;13.63;Sudeste Paraense
Capanema;17;Nordeste Paraense
Capitao Poco;15.86;Nordeste Paraense
Castanhal;10.16;Metropolitana de Belem
Chaves;17.7;Marajo
Colares;12.74;Nordeste Paraense
Conceicao do Araguaia;21.25;Sudeste Paraense
Concordia do Para;16.51;Nordeste Paraense
Cumaru do Norte;10;Sudeste Paraense
Curionopolis;22.44;Sudeste Paraense
Curralinho;24.46;Marajo
Curua;25.21;Baixo Amazonas
Curuca;14.6;Nordeste Paraense
Dom Eliseu;5.03;Sudeste Paraense
Eldorado dos Carajas;20.75;Sudeste Paraense
Faro;24.19;Baixo Amazonas
Floresta do Araguaia;8.72;Sudeste Paraense
Garrafao do Norte;8.23;Nordeste Paraense
Goianesia do Para;17.92;Sudeste Paraense
Gurupa;11.66;Marajo
Igarape-Acu;10.77;Nordeste Paraense
Igarape-Miri;14;Nordeste Paraense
Inhangapi;18.52;Metropolitana de Belem
Ipixuna do Para;14.02;Nordeste Paraense
Irituia;19.74;Nordeste Paraense
Itaituba;17.38;Sudoeste Paraense
Itupiranga;15.38;Sudeste Paraense
Jacareacanga;20.41;Sudoeste Paraense
Jacunda;15.41;Sudeste Paraense
Juruti;27.53;Baixo Amazonas
Limoeiro do Ajuru;19.23;Nordeste Paraense
Mae do Rio;15.96;Nordeste Paraense
Magalhaes Barata;17.09;Nordeste Paraense
Maraba;15.14;Sudeste Paraense
Maracana;25.71;Nordeste Paraense
Marapanim;9.9;Nordeste Paraense
Marituba;13.8;Metropolitana de Belem
Medicilandia;24.49;Sudoeste Paraense
Melgaco;6.36;Marajo
Mocajuba;15.22;Nordeste Paraense
Moju;26.09;Nordeste Paraense
Mojui dos campos;20.9;Baixo Amazonas
Monte Alegre;16.19;Baixo Amazonas
Muana;19.48;Marajo
Nova Esperanca do Piria;11.53;Nordeste Paraense
Nova Ipixuna;0;Sudeste Paraense
Nova Timboteua;7.63;Nordeste Paraense
Novo Progresso;6.84;Sudoeste Paraense
Novo Repartimento;15.08;Sudeste Paraense
obidos;13.79;Baixo Amazonas
Oeiras do Para;25.34;Nordeste Paraense
Oriximina;18.08;Baixo Amazonas
Ourem;6.45;Nordeste Paraense
Ourilandia do Norte;15.56;Sudeste Paraense
Pacaja;18.09;Sudoeste Paraense
Palestina do Para;0;Sudeste Paraense
Paragominas;11.64;Sudeste Paraense
Parauapebas;12.46;Sudeste Paraense
Pau D'Arco;25;Sudeste Paraense
Peixe-Boi;10.53;Nordeste Paraense
Picarra;24.24;Sudeste Paraense
Placas;14.18;Baixo Amazonas
Ponta de Pedras;13.77;Marajo
Portel;14.23;Marajo
Porto de Moz;27.34;Baixo Amazonas
Prainha;9.35;Baixo Amazonas
Primavera;5.24;Nordeste Paraense
Quatipuru;6.17;Nordeste Paraense
Redencao;19.12;Sudeste Paraense
Rio Maria;14.23;Sudeste Paraense
Rondon do Para;7.56;Sudeste Paraense
Ruropolis;14.74;Sudoeste Paraense
Salinopolis;8.82;Nordeste Paraense
